SG,US,UK
3243.837158,3252.751465,7590.971331
3267.524023,3301.4,7633.439941
3251.154004,3315.887512,7585.540039
3172.057495,3260.489941,7408.880078
3177.208008,3310.937988,7444.019922
3200.442041,3368.677979,7468.359961
3200.609961,3366.85498,7422.559961
3108.147998,3080.693945,6918.839941
3006.312012,3044.006055,6671.340039
2764.516683,2712.365967,5681.22002
2419.532031,2405.545947,5173.8
2430.684291,2506.152867,5527.114328
2490.832868,2621.2771,5593.942941
2606.846045,2813.032031,5701.099976
2552.068018,2798.714014,5760.640039
2577.827454,2898.452454,5955.449951
2579.882507,2866.883301,5831.219922
2563.398047,2867.302002,5875.97998
2547.544043,2950.483984,6025.32002
2518.942505,3025.484985,6126.874878
2664.315967,3113.140039,6318.919922
2756.109961,3134.623975,6263.860156
2650.168018,3103.580029,6215.5
2607.414272,3077.97433,6198.614328
2653.28139,3153.991455,6166.587463
2628.463965,3203.92002,6237.940039
2606.428027,3247.28999,6214.7
2565.507507,3246.725977,6050.699902
2527.581982,3325.866016,6046.540039
2571.159973,3364.158008,6152.12002
2550.428027,3385.858008,6066.239941
2538.611694,3474.416707,6030.180078
2513.044461,3425.058746,5929.888835
2494.404004,3369.341992,6053.459961
2470.647998,3275.72002,5839.719922
2473.746745,3350.023356,5897.166667
2522.538609,3406.028564,5945.057129
2546.46001,3500.393994,5931.660059
2532.723975,3444.895996,5839.280078
2478.836035,3328.55,5652.579883
2524.725977,3428.545947,5828.259961
2690.185986,3558.169971,6304.119922
2781.030029,3588.728027,6371.539941
2854.868327,3620.525977,6358.966715
2825.352214,3677.321126,6523.744358
2858.931982,3695.033984,6539.259961
2837.320007,3693.8125,6471.399902
2850.327454,3737.627563,6539.666667
2896.349951,3760.823975,6751.279883
2988.68999,3794.886035,6767.160059
2998.753955,3836.325012,6716.92002
2940.123975,3791.474023,6558.8
2910.754053,3837.782031,6496.77998
2929.497498,3917.581982,6539.6
2915.356006,3921.150024,6691.42002
2923.814014,3864.758008,6606.5
2995.174072,3840.447998,6631.839941
3092.127979,3895.656055,6734.7
3118.671973,3946.866016,6760.880176
3153.073761,3940.855011,6721.937561
3194.291626,4079.606608,6860.839941
3185.549951,4150.026074,6944.440039
3187.754004,4157.353906,6926.42002
3215.747998,4190.032129,6960.62002
3178.147998,4191.826074,7042.100098
3126.23999,4137.984082,7016.640039
3110.845947,4144.356055,7011.040039
3155.470068,4197.231934,7030.12002
3164.577772,4221.427789,7088.611165
3150.01001,4222.75,7135.02002
3117.38208,4252.052051,7094.5
3115.609945,4293.303223,7066.033366
3137.905727,4344.053223,7116.842843
3151.875977,4363.065918,7072.280078
3136.627502,4343.902051,6943.939941
3153.416016,4407.761914,7029.759961
3169.12998,4415.718066,7110.940039
3183.912537,4448.068066,7185.060059
3117.037988,4435.105957,7130.239941
3092.860038,4498.970006,7129.600016
3088.69754,4511.77567,7117.200012
3069.812061,4459.844043,7022.02002
3058.154004,4402.404004,7019.639941
3084.75,4365.684937,7071.525024
3084.453328,4359.644938,7047.450033
3144.145996,4397.053906,7172.12002
3192.91001,4527.391895,7207.859961
3205.318018,4578.95,7248.159961
3228.362549,4656.495898,7279.239941
3241.031982,4673.156055,7329.340039
3236.284033,4694.973926,7289.940039
3177.345738,4648.665039,7190.342843
3118.887512,4623.458801,7242.862427
3119.269971,4660.444043,7230.259961
3090.130029,4659.900024,7316.5
3124.197949,4783.102051,7402.733398
3173.675977,4732.751953,7489.449951
3253.534033,4686.317969,7519.059961
3288.322021,4497.634888,7568.720117
3259.771729,4398.40332,7437.216634
3384.658552,4514.355577,7586.822157
3430.469971,4415.375879,7559.059961
3360.094043,4300.902466,7434.640039
3242.23999,4373.939941,7458.299805
3225.101074,4277.628906,7150.53342
3282.461963,4333.641992,7290.180078
3376.665967,4498.450098,7466.1
3429.255005,4584.995117,7526.224976
3415.258341,4520.543294,7586.600016
3342.970032,4412.289917,7598.049927
3331.018018,4395.758008,7595.050049
3334.86001,4214.94209,7449.220117
3328.243327,4180.247949,7486.499878
3218.333984,3976.287988,7291.800098
3214.632507,3964.538037,7422.8
3214.201416,4040.365031,7554.114258
3222.251251,4087.893799,7521.133382
3109.922021,3723.341992,7145.599902
3102.327979,3808.037476,7118.47998
3128.70752,3831.467529,7265.824829
3114.043335,3860.76001,7153.333415
3116.059937,3825.709961,7152.339941
3148.696045,3937.603955,7266.139941
3201.987988,4022.844043,7345.899902
3256.53999,4132.423926,7431.200098
3282.13501,4192.038086,7488.9
3258.672021,4277.720117,7530.67998
3240.356262,4079.505035,7435.171456
3225.26001,3975.451701,7266.928571
3271.818018,3952.758057,7331
3255.042041,3799.393945,7152.100098
3141.82002,3649.492041,6957.27998
3139.318018,3727.363965,7007.259961
3075.143994,3606.247998,6875.959961
3011.415967,3702.323975,6939.100098
3032.013965,3844.565063,7049.916748
